ダウンロードした時刻：2018/07/22 14:28:25

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1872/1/1,,0,1,,0,1,,0,1
1872/1/2,,0,1,,0,1,,0,1
1872/1/3,,0,1,,0,1,,0,1
1872/1/4,,0,1,,0,1,,0,1
1872/1/5,,0,1,,0,1,,0,1
1872/1/6,,0,1,,0,1,,0,1
1872/1/7,,0,1,,0,1,,0,1
1872/1/8,,0,1,,0,1,,0,1
1872/1/9,,0,1,,0,1,,0,1
1872/1/10,,0,1,,0,1,,0,1
1872/1/11,,0,1,,0,1,,0,1
1872/1/12,,0,1,,0,1,,0,1
1872/1/13,,0,1,,0,1,,0,1
1872/1/14,,0,1,,0,1,,0,1
1872/1/15,,0,1,,0,1,,0,1
1872/1/16,,0,1,,0,1,,0,1
1872/1/17,,0,1,,0,1,,0,1
1872/1/18,,0,1,,0,1,,0,1
1872/1/19,,0,1,,0,1,,0,1
1872/1/20,,0,1,,0,1,,0,1
1872/1/21,,0,1,,0,1,,0,1
1872/1/22,,0,1,,0,1,,0,1
1872/1/23,,0,1,,0,1,,0,1
1872/1/24,,0,1,,0,1,,0,1
1872/1/25,,0,1,,0,1,,0,1
1872/1/26,,0,1,,0,1,,0,1
1872/1/27,,0,1,,0,1,,0,1
1872/1/28,,0,1,,0,1,,0,1
1872/1/29,,0,1,,0,1,,0,1
1872/1/30,,0,1,,0,1,,0,1
1872/1/31,,0,1,,0,1,,0,1
1872/2/1,,0,1,,0,1,,0,1
1872/2/2,,0,1,,0,1,,0,1
1872/2/3,,0,1,,0,1,,0,1
1872/2/4,,0,1,,0,1,,0,1
1872/2/5,,0,1,,0,1,,0,1
1872/2/6,,0,1,,0,1,,0,1
1872/2/7,,0,1,,0,1,,0,1
1872/2/8,,0,1,,0,1,,0,1
1872/2/9,,0,1,,0,1,,0,1
1872/2/10,,0,1,,0,1,,0,1
1872/2/11,,0,1,,0,1,,0,1
1872/2/12,,0,1,,0,1,,0,1
1872/2/13,,0,1,,0,1,,0,1
1872/2/14,,0,1,,0,1,,0,1
1872/2/15,,0,1,,0,1,,0,1
1872/2/16,,0,1,,0,1,,0,1
1872/2/17,,0,1,,0,1,,0,1
1872/2/18,,0,1,,0,1,,0,1
1872/2/19,,0,1,,0,1,,0,1
1872/2/20,,0,1,,0,1,,0,1
1872/2/21,,0,1,,0,1,,0,1
1872/2/22,,0,1,,0,1,,0,1
1872/2/23,,0,1,,0,1,,0,1
1872/2/24,,0,1,,0,1,,0,1
1872/2/25,,0,1,,0,1,,0,1
1872/2/26,,0,1,,0,1,,0,1
1872/2/27,,0,1,,0,1,,0,1
1872/2/28,,0,1,,0,1,,0,1
1872/2/29,,0,1,,0,1,,0,1
1872/3/1,,0,1,,0,1,,0,1
1872/3/2,,0,1,,0,1,,0,1
1872/3/3,,0,1,,0,1,,0,1
1872/3/4,,0,1,,0,1,,0,1
1872/3/5,,0,1,,0,1,,0,1
1872/3/6,,0,1,,0,1,,0,1
1872/3/7,,0,1,,0,1,,0,1
1872/3/8,,0,1,,0,1,,0,1
1872/3/9,,0,1,,0,1,,0,1
1872/3/10,,0,1,,0,1,,0,1
1872/3/11,,0,1,,0,1,,0,1
1872/3/12,,0,1,,0,1,,0,1
1872/3/13,,0,1,,0,1,,0,1
1872/3/14,,0,1,,0,1,,0,1
1872/3/15,,0,1,,0,1,,0,1
1872/3/16,,0,1,,0,1,,0,1
1872/3/17,,0,1,,0,1,,0,1
1872/3/18,,0,1,,0,1,,0,1
1872/3/19,,0,1,,0,1,,0,1
1872/3/20,,0,1,,0,1,,0,1
1872/3/21,,0,1,,0,1,,0,1
1872/3/22,,0,1,,0,1,,0,1
1872/3/23,,0,1,,0,1,,0,1
1872/3/24,,0,1,,0,1,,0,1
1872/3/25,,0,1,,0,1,,0,1
1872/3/26,,0,1,,0,1,,0,1
1872/3/27,,0,1,,0,1,,0,1
1872/3/28,,0,1,,0,1,,0,1
1872/3/29,,0,1,,0,1,,0,1
1872/3/30,,0,1,,0,1,,0,1
1872/3/31,,0,1,,0,1,,0,1
1872/4/1,,0,1,,0,1,,0,1
1872/4/2,,0,1,,0,1,,0,1
1872/4/3,,0,1,,0,1,,0,1
1872/4/4,,0,1,,0,1,,0,1
1872/4/5,,0,1,,0,1,,0,1
1872/4/6,,0,1,,0,1,,0,1
1872/4/7,,0,1,,0,1,,0,1
1872/4/8,,0,1,,0,1,,0,1
1872/4/9,,0,1,,0,1,,0,1
1872/4/10,,0,1,,0,1,,0,1
1872/4/11,,0,1,,0,1,,0,1
1872/4/12,,0,1,,0,1,,0,1
1872/4/13,,0,1,,0,1,,0,1
1872/4/14,,0,1,,0,1,,0,1
1872/4/15,,0,1,,0,1,,0,1
1872/4/16,,0,1,,0,1,,0,1
1872/4/17,,0,1,,0,1,,0,1
1872/4/18,,0,1,,0,1,,0,1
1872/4/19,,0,1,,0,1,,0,1
1872/4/20,,0,1,,0,1,,0,1
1872/4/21,,0,1,,0,1,,0,1
1872/4/22,,0,1,,0,1,,0,1
1872/4/23,,0,1,,0,1,,0,1
1872/4/24,,0,1,,0,1,,0,1
1872/4/25,,0,1,,0,1,,0,1
1872/4/26,,0,1,,0,1,,0,1
1872/4/27,,0,1,,0,1,,0,1
1872/4/28,,0,1,,0,1,,0,1
1872/4/29,,0,1,,0,1,,0,1
1872/4/30,,0,1,,0,1,,0,1
1872/5/1,,0,1,,0,1,,0,1
1872/5/2,,0,1,,0,1,,0,1
1872/5/3,,0,1,,0,1,,0,1
